Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   3 	   2 	   3 	   0 	  16 	   0 	 --*- 	----	 --	   2.250917435E+01 	  2.324047699E+02 	 -2.768228149E+02 	   5.679091215E-01 	  5.759738088E-01 	  5.879909992E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.488130095E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   1.780973663E+02 	  3.902024231E+02 	 -1.157328339E+02 	   5.679091215E-01 	  5.759738088E-01 	  5.879909992E-01 	  -4.883833826E-01 	 -3.640418053E-01 	 -7.930669785E-01 	   2.739667258E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   2.757080650E+01 	  3.412498474E+02 	 -4.986451721E+02 	  -3.632936180E-01 	 -1.181463152E-01 	 -9.241532087E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.143385798E+02	  -2.905066013E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   2.835717201E+00 	  3.332057800E+02 	 -5.615667725E+02 	  -3.632936180E-01 	 -1.181463152E-01 	 -9.241532087E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   6.808567729E+01	  -3.271435022E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -2.091000366E+01 	  3.254834595E+02 	 -6.219716187E+02 	  -3.632936180E-01 	 -1.181463152E-01 	 -9.241532087E-01 	                 -                 	-                 	- 	   6.536236637E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 4, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -1.088945160E+02 	  9.899448395E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	  12 	   0 	 --*- 	----	 --	  -1.088945160E+02 	  9.899448395E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	  13 	   0 	 -*-- 	----	 --	  -1.088945160E+02 	  9.899448395E+01 	 -4.299585266E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -2.970064878E-01 	 -3.016076088E-01 	 -9.059911370E-01 	   4.299585266E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M1_1K_01um.step
   3 	   2 	   3 	   0 	  16 	   0 	 --*- 	----	 --	   2.205603600E+01 	  2.319736786E+02 	 -2.738312378E+02 	   5.381705165E-01 	  5.465076566E-01 	  6.416400075E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.433253862E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   1.654233704E+02 	  3.775620422E+02 	 -1.028998642E+02 	   5.381705165E-01 	  5.465076566E-01 	  6.416400075E-01 	  -4.552360177E-01 	 -3.331010640E-01 	 -8.257141113E-01 	   2.663976326E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   2.579354286E+01 	  3.394288025E+02 	 -4.964168091E+02 	  -3.330129385E-01 	 -9.094658494E-02 	 -9.385260344E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.192925215E+02	  -3.473370790E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   2.691222906E+00 	  3.331195068E+02 	 -5.615257568E+02 	  -3.330129385E-01 	 -9.094658494E-02 	 -9.385260344E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   6.937362234E+01	  -3.256430626E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
